#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
266.003373,592,5475.739088
52.898137,1000,5477.15869
-171.943856,101,5477.179496
-30.211353,118,5484.073118
182.814808,492,5484.335654
-173.699335,350,5484.466733
269.634405,202,5484.521094
2.133856,153,5484.555298
301.989714,287,5484.661947
-169.99137,541,5485.076674
9.335946,144,5485.114874
190.459095,400,5485.277577
-153.91522,475,5485.517101
-51.923597,1000,5809.862021
177.378572,525,5810.210469
27.073427,113,5810.234961
-104.670404,1000,5811.816376
-16.59102,1000,5813.558205
-45.857362,144,5815.396174
200.065112,560,5815.950002
149.438588,477,5816.320294
-4.822753,120,5816.344866
16.401791,1000,5817.731152
282.862631,377,5817.911968
-41.003952,169,5817.954938
175.280202,358,5818.167047
-132.930795,503,5818.653967
-103.722139,462,5818.921941
266.723086,392,5819.167224
-199.084245,589,5819.473508
-22.017819,151,5819.513523
-72.245375,1000,5821.021196
17.434525,132,5821.050777
53.020897,131,5825.255192
204.085119,356,5825.48531
-27.154252,165,5825.526056
262.072061,191,5825.576607
52.567771,128,5825.608186
205.883246,459,5825.951182
221.895046,701,5826.496395
64.642243,170,5826.543437
-6.142964,110,5826.565652
-139.263013,373,5826.787202
-29.65941,117,5826.814992
3.744146,1000,5827.971349
17.549171,1000,5830.08867
-191.9684,907,5933.158726
164.039215,347,5933.31581
283.218833,208,5935.681332
-148.455576,517,5936.088937
255.550695,212,5936.162316
-59.410371,510,5936.568997
241.590519,219,5936.641324
-215.641442,602,5936.96565
210.187605,338,5937.126306
237.502432,231,5937.207083
-8.950193,113,5937.228908
256.278783,300,5937.331496
241.75964,336,5937.504994
33.974062,125,5937.534243
237.658039,442,5937.758232
259.527992,574,5938.192102
-9.202046,104,5938.213154
-90.056622,123,5939.663983
-198.100331,443,5939.99355
288.607151,245,5940.079635
243.726368,229,5940.160675
-143.661621,603,5940.575896
-39.649411,123,5940.601745
-93.498238,629,5941.366918
-160.517771,857,5942.324566
277.01347,284,5942.417111
253.80724,267,5942.513093
44.645232,126,5942.545715
-162.444927,540,6236.111953
-76.461281,1000,6237.611898
270.229587,697,6237.990968
-84.450382,374,6238.15567
