#{"t_start": 1697684642.142205, "env_id": "LunarLander-v2"}
r,l,t
217.017408,517,30464.706022
258.190324,372,30464.937555
239.821766,359,30465.169015
152.686377,419,30465.478679
98.651136,1000,30466.496093
200.514726,562,30467.023565
200.159286,538,30467.483986
274.122958,437,30467.816264
281.862628,586,31537.257125
194.892046,856,31538.01242
234.152588,440,31538.279474
245.836475,315,31539.912932
231.733238,346,31540.144277
218.005341,320,31540.334145
230.311555,365,31540.519758
175.352018,464,31540.833648
165.46588,649,31541.656788
195.386251,581,32485.296807
101.682797,1000,32486.616884
292.334344,235,32486.694811
225.157808,330,32486.885151
154.988005,562,32487.485933
-22.016857,169,32487.526552
204.872693,505,32487.88963
215.799726,313,32488.064443
161.297628,632,32488.848361
133.014067,1000,33000.826882
227.66101,433,33001.086612
240.146737,317,33001.273758
245.045113,980,33002.080761
252.689424,345,33002.291435
200.894645,463,33002.645843
223.194863,431,33002.974181
223.352473,431,33003.147488
216.9973,337,33003.303253
41.05147,256,33003.421676
241.895998,876,33004.467749
223.986781,992,33905.566386
108.726613,1000,33906.726418
252.948019,816,33907.315297
184.198474,493,33907.693284
221.996856,353,33908.827621
174.486886,443,33909.164713
227.901655,751,33910.059926
238.558734,333,34929.16177
250.869416,741,34929.740941
241.747087,560,34930.167668
-7.295985,238,34930.25601
262.19919,810,34931.03808
209.213152,470,34931.374051
258.699022,426,34931.7047
241.19368,471,34931.988115
156.166029,1000,34933.336249
31.23294,234,34933.407529
142.791898,1000,34939.309508
166.139975,1000,34940.593058
153.345337,555,34947.680718
170.485456,483,34948.122312
282.575707,283,34948.270367
31.445514,231,34948.366688
248.508374,224,34948.466014
153.603544,557,34948.951651
-44.804501,148,34948.987869
235.329685,289,34949.127578
230.865332,284,34949.238463
261.948615,292,34949.390236
201.828955,412,35413.293968
227.406075,245,35413.435262
12.673995,1000,35414.432548
283.17417,195,35414.502852
195.919267,282,35414.613443
273.770728,366,35418.816519
132.59865,1000,35420.035286
196.019058,641,35420.74158
157.650982,1000,35421.864423
283.091225,300,35421.985198
230.428358,598,35422.453391
282.836091,218,35422.533563
285.789235,303,35422.668468
227.354394,245,35422.755698
267.408159,288,35422.918338
142.586664,1000,35424.129145
216.26842,601,35424.608862
171.334169,1000,35425.304274
172.849141,1000,35426.349933
154.991933,1000,35427.676794
243.15733,532,35429.072037
222.668297,220,35429.153787
89.830515,1000,35430.324682
129.130591,1000,35431.738926
203.109786,816,35432.679067
232.560463,266,35432.782657
212.749033,277,35432.92607
274.942611,341,35433.061446
204.15979,568,35433.553401
234.547709,889,35434.433571
256.883876,343,35434.582392
-11.897491,232,35434.65812
228.303704,324,35434.832503
237.71881,311,35434.987566
106.041732,1000,35436.019661
249.798588,539,35442.826657
162.218193,429,35443.085729
223.654235,329,35443.341425
188.182149,383,35443.607211
202.173332,324,35443.776042
230.581081,287,35443.924438
233.513558,540,35444.229544
252.43374,239,35444.321786
206.086748,373,35444.54081
213.245063,255,35444.641027
282.265585,412,35444.866921
-34.467948,237,35444.962884
-12.964199,358,35445.186189
254.03373,286,35445.348341
215.451043,677,35445.821926
189.056579,553,35450.105149
266.14241,292,35450.236858
234.388848,131,35450.269051
-126.416576,458,35450.502186
194.718778,382,35450.738341
235.0298,332,35450.87794
172.631917,352,35451.046521
65.777351,1000,35452.249914
241.584526,391,35452.485969
197.072936,437,35452.770273
248.306675,346,35452.939887
121.255843,1000,35453.832098
127.284676,672,35454.488258
220.14968,265,35454.619158
181.839925,454,35454.97249
248.423059,265,35459.188738
237.43344,485,35459.62761
268.503511,237,35459.714142
207.615765,444,35460.031532
240.985876,292,35460.140946
303.203579,187,35460.18936
240.975309,370,35460.450489
251.118947,409,35460.777979
247.883349,209,35460.837318
206.343294,424,35461.159691
179.455705,437,35461.391928
215.005654,396,35461.698201
195.368651,338,35461.944503
203.000395,429,35462.244045
242.463737,358,35462.435377
282.311419,316,35465.717236
217.558221,353,35465.906176
254.505143,238,35466.012226
269.484558,203,35466.066703
137.75469,796,35467.137876
218.885466,350,35467.38524
245.013932,285,35467.529639
222.974466,428,35467.903074
-55.328076,129,35467.92823
239.293886,309,35468.109139
-26.557931,228,35468.176497
263.416657,356,35468.349562
209.765167,321,35468.503243
239.515177,265,35468.605251
230.70336,288,35468.769988
257.249777,933,35472.697494
255.521837,273,35472.837156
242.292442,437,35473.122246
217.118421,246,35473.204287
194.586264,417,35473.512864
210.152919,512,35473.798129
116.64317,676,35474.260594
246.239901,225,35474.346447
-162.083239,360,35474.537927
-23.490757,269,35474.684927
237.1059,387,35474.956859
182.301106,990,35475.886702
206.987514,749,35476.835177
41.42417,161,35476.882818
163.837452,653,35477.309509
238.967992,477,35478.566006
12.438987,133,35478.595607
194.702681,547,35479.128179
253.146122,388,35479.371242
231.647876,273,35479.504346
241.985392,271,35479.613203
166.607871,446,35479.870121
232.82806,236,35479.949013
244.196865,236,35480.035951
237.07598,307,35480.159647
287.882807,207,35480.21864
-62.289834,232,35480.306774
234.467996,414,35480.676696
-69.82965,262,35480.760439
221.247601,310,35480.862747
251.504494,302,35486.536949
200.356699,343,35486.737985
207.675994,384,35486.940718
191.21058,592,35487.319188
236.902059,318,35487.481947
211.633932,332,35487.672059
245.807618,304,35487.841801
246.410875,663,35488.375063
230.168696,424,35488.604606
271.707125,290,35488.73862
188.430127,922,35489.736511
282.010005,247,35489.845345
184.006019,518,35490.23607
192.606502,617,35490.921496
279.469127,235,35491.013351
145.114125,1000,35496.032127
150.276352,1000,35496.839484
130.793277,1000,35497.915099
307.456859,219,35498.006931
271.800076,180,35498.054956
217.104292,499,35498.357042
190.793379,471,35498.625089
261.509702,310,35498.753821
217.241372,666,35499.554395
140.551819,1000,35500.546398
132.699515,1000,35501.493785
252.570627,494,35501.748227
229.842286,667,35502.236541
205.645881,604,35502.736389
-222.048861,316,35502.901598
208.585014,353,35504.115854
219.166519,285,35504.253179
218.675372,289,35504.397775
236.856567,555,35504.875601
210.242119,887,35505.63732
221.387948,256,35505.750418
237.047284,255,35505.838776
249.402919,400,35505.993971
278.465703,335,35506.167007
-159.243196,330,35506.344819
-159.441585,170,35506.388236
147.125678,1000,35507.008646
233.976388,438,35507.317436
225.809397,451,35507.670965
144.76076,1000,35508.776741
219.184907,385,35515.007775
207.646419,310,35515.168589
241.569274,333,35515.3504
223.937711,324,35515.528391
214.037469,459,35515.806581
199.033489,419,35516.05181
260.314256,260,35516.16236
-44.917291,289,35516.267188
237.277572,365,35516.483176
228.8522,441,35516.804563
215.400083,309,35516.952073
256.596811,269,35517.07993
160.909223,779,35517.649374
230.551318,314,35517.79533
306.437337,193,35517.851595
147.370968,651,35519.813427
-234.813734,459,35520.137862
146.439935,429,35520.331777
131.790869,985,35521.771015
261.010263,200,35521.823721
200.977294,838,35522.491375
265.453435,273,35522.593866
259.654299,257,35522.711741
179.021125,419,35522.910575
128.315232,760,35523.630919
212.495823,764,35524.177589
226.240009,271,35524.291724
272.343631,203,35524.356323
222.910666,332,35524.509327
-24.406045,142,35524.543216
274.508459,302,35531.300867
260.612994,271,35531.421262
234.483839,207,35531.482325
202.395099,277,35531.580869
200.41233,368,35531.760506
288.577649,189,35531.810796
-50.615212,211,35531.874367
190.805899,282,35531.99888
270.203303,243,35532.078141
248.746584,280,35532.22078
216.889617,251,35532.300512
273.567449,212,35532.369368
258.474487,284,35532.474955
262.616661,242,35532.579134
243.969987,257,35532.677349
263.045613,387,35536.22058
154.54165,411,35536.484073
153.184254,456,35536.823933
253.367056,460,35537.182002
267.193228,314,35537.332968
122.443792,693,35538.015816
-462.523937,334,35538.15617
23.808394,153,35538.196711
250.398977,546,35538.55362
-227.403323,323,35538.743758
227.307021,965,35539.680691
-186.690038,306,35539.838552
228.170829,390,35540.086056
227.249933,273,35540.217829
165.022036,298,35540.36691
280.896264,292,35544.21539
95.260438,1000,35544.994051
218.259471,287,35545.124453
18.574524,1000,35545.976953
236.193189,378,35546.161042
290.386786,220,35546.224031
242.735072,275,35546.360002
180.574074,342,35546.492146
182.372723,520,35546.811643
208.209924,388,35547.12357
160.435311,509,35547.457961
261.509708,262,35547.587808
211.510584,308,35547.77477
261.696427,201,35547.834857
211.893005,564,35548.308635
221.062427,657,35549.986678
253.604315,268,35550.129859
193.252624,424,35550.437608
53.712335,1000,35551.387244
139.093244,477,35551.694995
266.323019,289,35551.832501
238.933152,612,35552.289459
243.827996,330,35552.463763
168.691633,344,35552.651549
167.673064,470,35553.149046
235.169369,335,35553.358016
179.591568,421,35553.664037
149.920297,311,35553.838763
310.243987,208,35553.919692
155.283003,598,35557.488602
259.867329,228,35563.985176
