#{"t_start": 1697720412.5152571, "env_id": "LunarLander-v2"}
r,l,t
-321.636189,888,908.56907
-190.197065,677,909.615538
-159.582704,635,910.339734
-319.751047,917,912.005396
-127.912048,310,912.169811
-146.480394,360,912.414594
-192.980241,635,913.171557
-148.135652,726,920.904675
-66.83256,623,921.693384
-118.848759,454,922.073455
-72.870055,398,922.460815
-140.494013,744,923.401862
-170.080926,1000,924.482864
-68.630723,1000,926.298733
-359.575015,979,928.115827
-55.398301,538,928.652597
-86.906384,1000,930.716659
-84.135869,573,931.393772
-141.572405,1000,933.074913
-128.007313,1000,935.3135
-181.795958,453,935.560402
-139.907286,491,936.110746
-15.945274,500,942.195545
-105.75287,889,943.750461
-168.953516,744,944.691893
-257.049597,553,945.580952
-284.175755,613,946.638801
-154.271398,663,947.662578
-317.801781,956,949.440685
-116.506191,1000,951.664992
-303.047181,721,952.840008
-67.783498,540,953.51528
148.988352,713,954.343239
-71.524531,1000,956.319282
-103.953273,570,957.114563
-125.993938,673,958.05421
-79.645083,1000,959.749739
-73.565591,1000,967.368279
-112.964256,1000,969.34996
-193.701718,865,970.987711
-221.264198,440,971.301998
-401.150052,747,972.119249
-441.513984,997,973.851054
-268.122454,858,975.11153
-111.743316,1000,976.634994
-43.572814,1000,978.0641
-131.775933,1000,979.257258
-219.888362,738,980.137597
-133.498166,1000,981.635568
-138.400204,1000,983.943875
-84.742575,1000,985.450952
-145.195104,859,986.743087
-223.167223,551,994.60331
-147.200035,1000,996.108624
-102.630793,1000,998.213111
-110.724627,1000,1000.135222
-85.952634,1000,1001.940102
-140.495931,1000,1004.347437
-236.917112,409,1004.662181
-76.037656,1000,1006.901753
-70.583067,1000,1008.420432
-39.611354,1000,1010.49713
-203.323637,209,1010.588032
-103.628257,1000,1012.442307
-29.57817,1000,1014.490079
-120.183947,1000,1017.166966
-236.478493,398,1017.463712
-70.095431,1000,1025.822084
-94.001052,1000,1028.297503
-183.324742,1000,1030.084049
-195.407317,400,1030.312562
-188.136127,1000,1031.465474
-75.700292,1000,1033.471165
-166.032053,1000,1034.620677
44.341163,1000,1036.068217
-326.439147,376,1036.279916
-205.548773,553,1036.806985
-253.13475,415,1037.177681
-177.099155,1000,1038.467508
-385.44648,868,1039.439821
-185.541752,303,1039.610811
-108.445637,1000,1041.067994
-131.459867,1000,1049.059562
-25.301425,1000,1050.624539
-130.233499,1000,1051.941006
-162.614934,1000,1053.377167
-32.865522,1000,1055.001211
-162.653764,387,1055.328345
-205.575213,420,1055.679746
-92.055012,1000,1056.983702
-61.125951,1000,1058.745593
-220.478584,1000,1060.677753
-175.50985,432,1060.967389
-121.667052,1000,1062.164834
-87.331583,1000,1063.605832
-63.376636,1000,1064.836483
-124.9023,1000,1067.274321
-166.798028,1000,1075.760053
-290.66078,513,1076.178979
-142.170845,152,1076.222172
-165.209676,1000,1077.613492
-226.968633,450,1077.832201
-91.81899,846,1079.333798
-149.095515,1000,1081.165943
-130.423852,1000,1082.959712
-33.470472,1000,1085.175834
-61.206141,1000,1087.448346
-160.163361,256,1087.538242
-56.853043,1000,1089.453775
-114.804385,1000,1091.330128
-5.50989,1000,1093.335158
-147.675328,1000,1095.963288
-120.169798,1000,1103.010429
-70.514069,1000,1104.719057
-81.349302,1000,1105.885456
-158.396016,192,1105.953046
-68.437353,1000,1108.821498
-18.899038,1000,1110.928413
-73.726881,1000,1112.965957
-182.287891,1000,1115.189683
-166.605034,1000,1116.736489
-79.076223,1000,1118.093327
-89.261043,1000,1120.153888
-94.888047,1000,1121.472908
-121.539374,1000,1124.164144
-120.094924,1000,1125.432543
-144.036706,1000,1126.61389
-37.031683,1000,1135.350213
-98.092589,1000,1137.084613
-165.898944,183,1137.150552
-66.663351,1000,1139.5855
-86.660257,1000,1141.223127
-201.403904,180,1141.278817
-100.040673,1000,1143.57729
-186.830685,191,1143.655918
-45.904108,146,1143.70636
-81.253787,1000,1145.726264
-172.556233,111,1145.756216
-46.17867,1000,1147.492099
-40.273391,1000,1149.0991
-94.716731,1000,1151.684639
-101.192365,1000,1154.780991
-26.555022,1000,1164.773258
-82.98594,1000,1166.68438
-22.325448,1000,1168.138749
-146.417952,173,1168.190865
-29.987625,1000,1169.861014
-54.09136,1000,1171.966054
-61.281196,1000,1173.990842
-86.653232,1000,1175.622387
-100.267338,1000,1177.324486
-29.219878,1000,1179.710538
-23.85804,1000,1181.342781
-16.639745,1000,1183.866417
-110.408115,1000,1185.226625
-104.237685,1000,1187.478729
-92.143694,1000,1188.743752
-29.919191,1000,1198.225352
-34.459503,1000,1200.426516
-65.754886,1000,1201.744575
-152.512091,359,1201.948581
-56.82061,1000,1204.565377
-39.679408,1000,1206.550054
-56.429071,1000,1208.605355
-192.142843,179,1208.652265
-77.370027,1000,1210.387299
-79.566282,1000,1211.67708
-35.908139,1000,1213.631176
-116.706546,1000,1215.207597
-62.105224,1000,1217.802207
-43.83759,1000,1219.399014
-53.810948,1000,1221.711757
-203.042975,402,1228.019809
-57.289424,1000,1229.865453
-42.442102,1000,1231.692758
-74.83878,1000,1233.700238
-60.606882,1000,1235.02639
-66.101126,1000,1236.672378
-113.060299,1000,1238.951619
-58.570318,1000,1240.920758
-115.29997,1000,1242.551339
-52.973034,1000,1243.916503
-67.094433,261,1244.064149
-87.044656,1000,1245.944383
-94.203989,1000,1247.442188
-95.28455,1000,1249.253697
-56.787814,1000,1251.031258
-106.936399,1000,1259.05431
-94.56625,1000,1260.614228
-111.888105,1000,1262.095751
-120.873847,1000,1264.49816
-37.932283,1000,1266.692443
-91.69424,1000,1268.686688
-59.549617,1000,1270.433863
-92.01821,1000,1273.011414
-164.572236,1000,1275.748381
-69.667712,1000,1276.886761
